name,lat,lon,address,region,adm_zone
Авангард,55.865579,37.704492,"г. Москва, ш. Ярославское, д. 54",Ярославский,СВАО
Авангард,55.695875,37.664905,"г. Москва, просп. Андропова, д. 8",Даниловский,ЮАО
Авангард,55.630655,37.658545,"г. Москва, просп. Пролетарский, д. 30",Царицыно,ЮАО
Авангард,55.803761,37.800293,"г. Москва, бул. Сиреневый, д. 31",Северное Измайлово,ВАО
Авангард,55.885697,37.602265,"г. Москва, ул. Пришвина, д. 22",Бибирево,СВАО
Авангард,55.838032,37.576948,"г. Москва, Локомотивный пр-д, д. 4",Тимирязевский,САО
Авангард,55.685516,37.62169,"г. Москва, ш. Варшавское, д. 26, стр. 10",Нагорный,ЮАО
Авангард,55.81616,37.574573,"г. Москва, ш. Дмитровское, д. 11, стр. 1",Тимирязевский,САО
Авангард,55.777488,37.643191,"г. Москва, пер. Грохольский, д. 29, корп. 1",Красносельский,ЦАО
Авангард,55.722616,37.560342,"г. Москва, ул. Усачева, д. 35, стр. 1",Хамовники,ЦАО
Авангард,55.731927,37.611638,"г. Москва, ул. Большая Якиманка, д. 52",Якиманка,ЦАО
Авангард,55.678562,37.781964,"г. Москва, бул. Тихорецкий, д. 1, стр. 70",Люблино,ЮВАО
Авангард,55.70023,37.506158,"г. Москва, просп. Мичуринский, д. 9, корп. 3",Раменки,ЗАО
Авангард,55.815484,37.738076,"г. Москва, ш. Открытое, д. 9, стр. 1",Богородское,ВАО
Авангард,55.611971,37.537706,"г. Москва, бул. Литовский, д. 22",Ясенево,ЮЗАО
Авангард,55.901981,37.585629,"г. Москва, ш. Алтуфьевское, д. 95",Лианозово,СВАО
Авангард,55.738065,37.846616,"г. Москва, ул. Суздальская, д. 12а",Новокосино,ВАО
Авангард,55.734655,37.830852,"г. Москва, ул. Вешняковская, д. 17а, стр. 1",Вешняки,ВАО
Авангард,55.641217,37.359743,"г. Москва, ш. Боровское, д. 35",Ново-Переделкино,ЗАО
Авангард,55.641347,37.656,"г. Москва, просп. Пролетарский, д. 19, корп. 1",Москворечье-Сабурово,ЮАО
Авангард,55.547056,37.543303,"г. Москва, ул. Адмирала Лазарева, д. 2",Южное Бутово,ЮЗАО
Авангард,55.586414,37.647813,"г. Москва, ул. Медынская, д. 7",Бирюлёво Западное,ЮАО
Авангард,55.893844,37.524982,"г. Москва, ул. Лобненская, д. 14",Дмитровский,САО
Авангард,55.805816,37.514955,"г. Москва, просп. Ленинградский, д. 76а",Аэропорт,САО
Авангард,55.822541,37.823413,"г. Москва, ул. Хабаровская, д. 15",Гольяново,ВАО
Авангард,55.619624,37.752274,"г. Москва, ул. Кустанайская, д. 6",Зябликово,ЮАО
Авангард,55.682738,37.723018,"г. Москва, ул. Шоссейная, д. 34, стр. 1",Печатники,ЮВАО
Авангард,55.647315,37.412014,"г. Москва, просп. Солнцевский, д. 21",Солнцево,ЗАО
Авангард,55.766313,37.622345,"г. Москва, пл. Трубная, д. 2",Мещанский,ЦАО
Авангард,55.898474,37.629075,"г. Москва, МКАД, 87-й км, д. 8",Бибирево,СВАО
Авангард,55.793137,37.559961,"г. Москва, ал. Театральная, д. 3, стр. 1",Аэропорт,САО
Авангард,55.710119,37.62094,"г. Москва, ул. Большая Тульская, д. 2",Даниловский,ЮАО
Авангард,55.767116,37.829049,"г. Москва, ул. Саянская д. 8а",Ивановское,ВАО
Авангард,55.669632,37.552865,"г. Москва, ул. Профсоюзная, д. 56",Обручевский,ЮЗАО
Авангард,55.683141,37.549177,"г. Москва, ул. Вавилова, д. 66",Гагаринский,ЮЗАО
Авангард,55.733956,37.667253,"г. Москва, ул. Марксистская, д. 38, стр. 1",Таганский,ЦАО
Авангард,55.852877,37.58547,"г. Москва, ш. Алтуфьевское, д. 8",Отрадное,СВАО
Авангард,55.707084,37.591794,"г. Москва, ул. Вавилова, д. 3",Донской,ЮАО
Авангард,55.658708,37.741703,"г. Москва, ул. Люблинская, д. 153",Марьино,ЮВАО
Авангард,55.766459,37.381288,"г. Москва, ш. Рублевское, д. 62",Крылатское,ЗАО
Авангард,55.618274,37.507213,"г. Москва, ул. Профсоюзная, д. 129а",Ясенево,ЮЗАО
Авангард,55.789604,37.752197,"г. Москва, ш. Измайловское, д. 71а",Измайлово,ВАО
Авангард,55.630109,37.474571,"г. Москва, ул. Академика Варги, д. 8, корп. 1",Тёплый Стан,ЮЗАО
Авангард,55.718197,37.78407,"г. Москва, просп. Рязанский, д. 30, корп. 2",Рязанский,ЮВАО
Авангард,55.750783,37.820341,"г. Москва, просп. Зеленый, д. 62а",Новогиреево,ВАО
Авангард,55.625101,37.761014,"г. Москва, ш. Бесединское, вл. 15",Братеево,ЮАО
Авангард,55.853208,37.351378,"г. Москва, ул. Митинская, д. 53",Митино,СЗАО
Авангард,55.761611,37.568804,"г. Москва, ул. Красная Пресня, д. 23, корп. Б, стр. 1",Пресненский,ЦАО
Авангард,55.877371,37.559165,"г. Москва, ул. Дубнинская, д. 30а, стр. 1",Восточное Дегунино,САО
Авангард,55.887544,37.678371,"г. Москва, ул. Широкая, д. 31",Северное Медведково,СВАО
